français;anglais;variante_anglais;genre;classe
Fournisseur d’accès à l’internet (FAI);Internet access provider (IAP);;;nom
Fournisseur d’accès à l’internet (FAI);Internet service provider (ISP);;;nom
Fournisseur d’applications en ligne;Application service provider (ASP);;;nom
Fournisseur de services;Service provider;;;nom
Frimousse;Emoticon;;f;nom
Frimousse;Smiley;;f;nom
Fureteur, -euse;Lurker;;;nom
Fusionner;Merge (to);;;verbe
Gain;Gain;;m;nom
Gain;Power gain;;m;nom
Gain;Transmission gain;;m;nom
Gamme de couleurs;Color gamut;;;nom
Gamme de couleurs;Gamut;;;nom
Gant numérique;Data glove;;;nom
Générateur de dessin de masques (GDM);Mask pattern generator;;;nom
Génération de séquences de test (GST);Test pattern generation (TPG);;;nom
Génie informatique;Computer engineering;;;nom
Génie logiciel;Software engineering;;;nom
Géolocalisation par satellite;Geosatellite positioning;;;nom
Géorepérage;Geofencing;;m;nom
Gérance de l’informatique;Facilities management;;;nom
Gestion de l’archivage;Records management;;;nom
Gestion des droits numériques (GDN);Digital rights management (DRM);;;nom
Gestionnaire d’évènement;Event handler;;;nom
Gestionnaire d’évènement;Handler;;;nom
Glisser-déposer;Drag and drop;;m;nom
Graduation;Scalability;;f;nom
Gradué;Scalable;;;adjectif
Grapheur;Graphics software;;m;nom
Grappe;Cluster;;f;nom
Gravure;Etching;;f;nom
Grille informatique;Computational grid;;;nom
Grille informatique;Computing grid;;;nom
Grille informatique;Grid;;;nom
Groupe;Cluster;;m;nom
Groupe fermé d’usagers (GFU);Closed user group (CUG);;;nom
Guichet;Front office;;m;nom
Guichet unique;One stop shopping (OSS);;;nom
Habileté numérique;Computer literacy;;;nom
Habileté numérique;Digital literacy;;;nom
Habileté numérique;Information literacy;;;nom
Hachage;Hash code;;m;nom
Heuristique;Heuristics;;f;nom
Hors offre du fournisseur d’accès à l’internet,;Over the top (OTT);;;locution adjective
Hydrorésistant;Water resistant;;;adjectif
Hyperfréquence;Microwave frequency;;f;nom
Hypertexte;Hypertext;;m;nom
Hypertextuel;Hypertext;;;adjectif
Icône;Icon;;f;nom
Identification des appels malveillants (IAM);Malicious call identification (MCID);;;nom
Identité internationale d’abonnement mobile;International mobile subscriber identity (IMSI);;;nom
Identité internationale d’abonnement mobile;International mobile subscription identity (IMSI);;;nom
Imagette;Thumbnail;;f;nom
Implanter;Implement (to);;;verbe
Implémenter;Implement (to);;;nom
Impression en ligne;E-printing;;;nom
Impression en ligne;Web2print;;;nom
Impression en ligne;Web-to-print;;;nom
Imputation;Charge;;f;nom
Imputation à l’arrivée;Collect call;en_us;;nom
Imputation à l’arrivée;Reverse-charge call;;;nom
Imputation à l’arrivée;Reverse charging (REV);;;nom
Imputer;Charge (to);;;verbe
Incendier;Flame (to);;;verbe
Indexation personnelle;Folksonomy;;;nom
Indication d’appel en instance (IAI);Call waiting (CW);;;nom
Indication de prix;Advice of charge (AOC);;;nom
Informatique en nuage;Cloud computing;;;nom
Infrastructure à la demande;Infrastructure as a service (IAAS);;;nom
Inhabileté numérique;Computer illiteracy;;;nom
Inhabileté numérique;Digital illiteracy;;;nom
Inhabileté numérique;Information illiteracy;;;nom
Instruction;Instruction;;f;nom
Instruction;Statement;;f;nom
Intelligence artificielle (IA);Artificial intelligence (AI);;;nom
Interactif, -ive;Interactive;;;adjectif
Intercepteur d’IMSI;IMSI catcher;;;nom
Interdiction d’appels à l’arrivée;Incoming call barring (ICB);;;nom
Interdiction d’appels au départ;Outgoing call barring (OCB);;;nom
Interface;Interface;;f;nom
Interférence;Wave interference;;f;nom
Internaute;Cybernaut;;;nom
Internet;Internet;;m;nom
Internet;Internet network;;m;nom
Internet;Net;;m;nom
Intranet;Intranet;;m;nom
Investigation informatique;Discovery;;;nom
Investigation informatique;E-discovery;;;nom
Invitation à émettre;Polling;;;nom
Invitation à recevoir;Selecting;;;nom
Invite;Prompt;;f;nom
Jeu de puces;Chipset;;;nom
Jeu sérieux;Serious game;;;nom
Langage à objets;Object-oriented language;;;nom
Lecteur;Card reader;;m;nom
Lettre d’information;Newsletter;;;nom
Liaison descendante;Downlink;;;nom
Liaison louée (LL);Leased circuit;;;nom
Liaison louée (LL);Leased line (LL);;;nom
Liaison louée (LL);Leased link;;;nom
Liaison montante;Uplink;;;nom
Liaison numérique asymétrique;Asymmetric digital subscriber line (ADSL);;;nom
Liaison numérique symétrique;Symmetric digital subscriber line (SDSL);;;nom
Liaison spécialisée (LS);Dedicated line;;;nom
Lien;Link;;m;nom
Lien;Linkage;;m;nom
Ligne (en);On line;;;locution adjective
Ligne (en);On-line;;;locution adjective
Ligne (en);Online;;;locution adjective
Ligne d’accès;Access line;;;nom
Ligne d’accès;Local line;;;nom
Ligne d’accès;Subscriber line;;;nom
Ligne d’accès numérique;Digital subscriber line (DSL);;;nom
Liseuse;E-book reader;;f;nom
Liseuse;Electronic book reader;;f;nom
Liseuse;Electronic reader;;f;nom
Liseuse;E-reader;;f;nom
Liseuse;Reader;;f;nom
Listage;Listing;;m;nom
Listage;Listing;;m;nom
Liste de diffusion;Mailing list;;;nom
Liste de signets;Hotlist;;;nom
Liste d’interconnexions;Netlist;;;nom
Lister;List (to);;;verbe
Lister;List (to);;;verbe
Livre numérique;E-book;;;nom
Livre numérique;Electronic book;;;nom
Logement;Slot;;m;nom
Logiciel;Software;;m;nom
Logiciel à contribution;Shareware;;;nom
Logiciel à la demande;Software as a service (SAAS);;;nom
Logiciel antivirus;Antivirus program;;;nom
Logiciel antivirus;Antivirus software;;;nom
Logiciel antivirus;Vaccine program;;;nom
Logiciel de dessin;Drawing software;;;nom
Logiciel de groupe de travail;Groupware;;;nom
Logiciel de navigation;Browser;;;nom
Logiciel de traitement de texte;Word processor;;;nom
Logiciel de vérification de schéma (LVS);Layout versus schematic (LVS);;;nom
Logiciel éducatif;Educational software;;;nom
Logiciel espion;Spyware;;;nom
Logiciel gratuit;Freeware;;;nom
Logiciel libre;Free software;;;nom
Logiciel libre;Open source software;;;nom
Logiciel malveillant;Malicious logic;;;nom
Logiciel malveillant;Malicious software;;;nom
Logiciel malveillant;Malware;;;nom
Logiciel médiateur;Middleware;;;nom
Logiciel publicitaire;Advertising software;;;nom
Logiciel publicitaire;Adware;;;nom
Logiciel-socle;Baseware;;m;nom
Macrocellule;Megacell;;f;nom
Macro-instruction;Macro;;f;nom
Macro-instruction;Macroinstruction;;f;nom
Macroordinateur;Mainframe;;m;nom
Magasin de données;Datamart;;;nom
Maintenabilité;Maintainability;;f;nom
Manche à balai;Joystick;;;nom
Mappe;Map;;f;nom
Mappe;Mapping;;f;nom
Maquette;Breadboard;;f;nom
Maquette;Lay-out;;f;nom
Marquage;Highlighting;;m;nom
Masque;Mask;;m;nom
Matériel;Hardware;;m;nom
Matériel à la demande;Hardware as a service (HAAS);;;nom
Matrice de micromiroirs (MDM);Digital micromirror device (DMD);;;nom
Mégadonnées;Big data;;f;nom
Mél;Mail;;;nom
Mémoire;Storage memory;;f;nom
Mémoire à cellules multiniveaux (MCM);Multi-level cell memory (MCM);;;nom
Mémoire à cellules multiniveaux (MCM);Multilevel cell memory (MCM);;;nom
Mémoire flash;Flash memory;;;nom
Mémoire magnétique;Magnetic storage;;;nom
Mémoire morte;Read-only memory (ROM);;;nom
Mémoire non volatile;Non volatile memory;;;nom
Mémoire non volatile;Nonvolatile memory (NVM);;;nom
Mémoire tampon;Buffer;;m;nom
Tampon;Buffer;;m;nom
Mémoire vive;Random- access memory (RAM);;;nom
Mémoire vive dynamique;Dynamic ram;;;nom
Mémoire vive dynamique;Dynamic random-access memory (DRAM);;;nom
Mémoire vive magnétique;Magnetic random access memory (MRAM);;;nom
Mémoire vive résistive;Resistive ram;;;nom
Mémoire vive résistive;Resistive random access memory (RERAM, RRAM);;;nom
Mémoire vive statique;Static ram;;;nom
Mémoire vive statique;Static random access memory (SRAM);;;nom
Mémoire volatile;Volatile memory;;;nom
Mer de portes;Sea of gates;;;nom
Message incendiaire;Flame;;;nom
Message multimédia;Mms message;;;nom
Message multimédia;Multimedia message;;;nom
Messagerie électronique;Electronic mail;;;nom
Messagerie électronique;Electronic messaging;;;nom
Messagerie électronique;E-mail;;;nom
Messagerie instantanée;Instant messaging;;;nom
Messagerie instantanée vocale (MIV);Push-to-talk (PTT);;;nom
Messagerie instantanée vocale (MIV);Push-to- talk over cellular (POC);;;nom
Messagerie instantanée vocale (MIV);Walkie-talkie service;;;nom
Messagerie interpersonnelle;Interpersonal messaging service;;;nom
Messagerie interpersonnelle;Message handling service;;;nom
Messagerie vocale;Voice mail;;;nom
Messagerie vocale;Voice messaging;;;nom
